Solar_elevation,Solar_Azimuth_CW_of_N
-5.37440585402049,239.034186665441
-6.17620856810726,240.170224792243
-6.9853845587347,241.301531020802
-7.80208176302739,242.428477357846
-8.62627418515067,243.551449340334
-9.45783418309378,244.670845992991
-10.2965718648373,245.787079853884
-11.1422577646379,246.90057706923
-11.9946364736679,248.011777558604
-12.8534351155285,249.121135251725
-13.7183687503352,250.229118397982
-14.5891438762663,251.33620994992
-15.4654607110365,252.442908021972
-16.3470146654484,253.549726425766
-17.2334972655584,254.65719528342
-18.1245966872526,255.765861720326
-19.0199980101093,256.876290638952
-19.919383261614,257.989065575278
-20.8224312996277,259.104789639477
-21.7288175657334,260.224086542435
-22.6382137317563,261.347601709662
-23.5502872546348,262.476003483971
-24.4647008498361,263.609984418125
-25.3811118898134,264.750262658275
-26.2991717315019,265.897583418599
